text,offset,length,author
"If you just found out that you have diabetes or want to know more about the disease, this article will help you answer your questions.
",0,135,1
"the different types of diabetes, including their causes, risk factors, symptoms, and complications What is Diabetes? ",136,117,1
"Diabetes is a chronic disease in which the body does not make or properly use insulin-- Serious organ damage can result from diabetes, especially if left untreated. ",254,165,1
"The trouble begins when blood glucose levels become elevated. This is due to a lack of sufficient insulin production, or the body failing to recognize and use the insulin properly.
",417,181,0
"Insulin is a hormone that is needed by the body to convert sugar, starches, and other food into energy by moving glucose from the blood into the cells.
",598,152,1
"People with diabetes have increased blood glucose levels for one or more of the following three reasons:
",751,105,1
"no insulin is being produced, insulin production is insufficient, and/or the body is resistant to the effects of insulin.
",857,122,1
"Diabetes affects almost 24 million Americans and people may be at risk and not know it
",978,87,0
"With proper care from your diabetes team and yourself, this disease, unlike many other diseases, may be managed and complications can be reduced, delayed or even prevented.",1066,172,0
"People living with diabetes may require daily insulin therapy depending on the type of diabetes a person has and how well his body can able to process insulin.
",1239,160,0
"There are different kinds of insulin , but all serve the same basic purpose. Insulin may be rapid-acting, short acting, intermediate, long-acting, or pre-mixed. ",1400,161,0
"Which insulin is taken is determined by factors such as: how the individual patient's body reacts to insulin
",1485,109,0
"how quickly the reaction is, the frequency and ability to take multiple injections age, target glucose levels lifestyle and activity.
",1595,134,0
"Only a doctor can determine the right insulin to take, and adjustments are likely to be made to achieve maximum benefits. ",1730,122,0
"Insulin dosing schedules will vary similarly, and are also dependent upon the type of insulin being taken. ",1853,107,0
"More than half those living with diabetes can eventually expect to experience neuropathy, a tingling sensation (or lack of any feeling) in the extremities brought on by insufficient blood flow. ",1961,194,0
"In severe cases, especially when coupled with untreated ulceration, bone infection can occur and lead to the need for amputation.
",2156,130,0
"DIAGNOSING DIABETES
The information provided in this article is intended to improve your general knowledge concerning diabetes and for educational purposes. ",2287,157,0
"The information in this article cannot substitute for professional medical advice, nor does it replace the medical judgment of a licensed healthcare professional.
",2425,163,0
"Diabetes is diagnosed when the fasting blood glucose level is greater than 126 mg/dl on two separate testing dates, or if the blood glucose level is over 200 mg/dl with the presence of hyperglycemia (high blood sugar) symptoms.
",2589,228,0
"Also, some physicians will order an oral glucose tolerance test (OGTT) to confirm a diabetes diagnosis. ",2818,104,0
Tests are used for diagnosis: An oral glucose tolerance test measures your blood glucose after you have gone at least 8 hours without eating and 2 hours after you drink a glucose-containing beverage. ,2923,200,0
"This test can be used to diagnose diabetes or pre-diabetes. In a random plasma glucose test, your doctor checks your blood glucose without regard to when you ate your last meal. ",3124,178,0
"This test, along with an assessment of symptoms, is used to diagnose diabetes but not pre-diabetes. ",3243,100,0
A fasting plasma glucose test measures your blood glucose after you have gone at least 8 hours without eating. ,3344,111,0
"This test is used to detect diabetes or pre-diabetes.
Positive test results should be confirmed by repeating the fasting plasma glucose test or the oral glucose tolerance test on a different day.
",3456,196,0
"Fasting Plasma Glucose (FPG) Test - The FPG is the preferred test for diagnosing diabetes due to convenience and is most reliable when done in the morning Plasma Glucose Result (mg/dL) Diagnosis 99 and below Normal 100 to 125 Pre-diabetes
",3599,239,0
"(impaired fasting glucose) 126 and above Diabetes*
*Confirmed by repeating the test on a different day.
",3839,104,0
"Oral Glucose Tolerance Test (OGTT)
Research has shown that the OGTT is more sensitive than the FPG test for diagnosing pre-diabetes, but it is less convenient to administer. ",3893,174,0
The OGTT requires you to fast for at least 8 hours before the test. Your plasma glucose is measured immediately before and 2 hours after you drink a liquid containing 75 grams of glucose dissolved in water. ,4033,207,0
"If your blood glucose level is between 140 and 199 mg/dL 2 hours after drinking the liquid, you have a form of pre-diabetes called impaired glucose tolerance or IGT, meaning that you are more likely to develop type 2 diabetes but do not have it yet. ",4173,250,0
"A 2-hour glucose level of 200 mg/dL or above, confirmed by repeating the test on another day, means that you have diabetes. ",4424,124,0
"2-Hour Plasma Glucose Result (mg/dL) Diagnosis 139 and below Normal 140 to 199 Pre-diabetes
",4549,92,0
"(impaired glucose tolerance) 200 and above Diabetes*
*Confirmed by repeating the test on a different day.
",4642,106,0
Gestational diabetes is also diagnosed based on plasma glucose values measured during the OGTT. ,4696,96,0
"Blood glucose levels are checked four times during the test. If your blood glucose levels are above normal at least twice during the test, you have gestational diabetes. ",4793,170,0
"Table 3 shows the above-normal results for the OGTT for gestational diabetes.
Gestational Diabetes: Above-Normal
",4903,113,0
"Results for the Oral Glucose Tolerance Test When Plasma Glucose Result (mg/dL) Fasting 95 or higher At 1 hour 180 or higher At 2 hours 155 or higher At 3 hours 140 or higher
",4939,174,0
"Note: Some laboratories use other numbers for this test..
Every time you eat, the food is converted by your body into glucose (sugar) to fuel cells for energy. ",5114,160,0
"Insulin, a hormone produced by pancreas, that makes this process to work must be present to transport the sugar to the cells from the blood. ",5217,141,0
"In people who produce little or no insulin, glucose builds up in the blood instead. ",5359,84,0
"When blood sugar remains too high, headache, blurry vision, dull skin, and frequent urination are sure to follow. ",5444,114,0
"Having a sweet tooth isn't necessarily a precursor to diabetes. However, a sensible diet low in fat and refined sugar does provide resistance.
",5559,143,0
"According to Ruchi Mathur, MD, Assistant Professor of Medicine at the Keck School of Medicine, University of Southern California, ""It's a matter of smaller portion sizes more than anything else. ",5639,195,0
"Some people go to extremes by avoiding starches, but it doesn't work that way."" Instead, she recommends limiting simple carbohydrates such as sodas, breads, and pastas made from white flour and other highly processed foods.
",5835,224,0
"Most people dont realize that 1 slice of bread or 1/3 cup of cooked rice breaks down into 4 teaspoons over one tablespoon of sugar in the bloodstream.
",5980,151,0
"You can somehow prevent diabetes and its complications by knowing the symptom.
Approximately, there are 21 million people in the United States have diabetes, and one million new cases of diabetes are diagnosed each year aside from those who have remained undiagnosed. ",6132,268,0
Diabetes is a disease of excess sugar (glucose) in the blood. Men and women of all ages and ethnic groups are affected and can be affected by diabetes. ,6322,152,0
"And if goes undiagnosed, it could become life threatening.
",6413,59,0
If you are experiencing any of these symptoms you should see your doctor as soon as possible to rule out the possibility of a serious problem. ,7360,143,1
"accounts for 5-10% of diagnosed diabetes, occurring most commonly in children and young adults, and requires daily insulin injections the pancreas may produce adequate insulin, but for some reason the body ignores it, setting up insulin resistance. ",7503,249,0
"But the good news is that type 2 is largely preventable - even reversible - with proper care.
",7753,94,0
"In Type 1 diabetes, symptoms of high blood glucose (sugar) appear suddenly or quickly, while in Type 2 diabetes, the symptoms appear more gradually over time. ",7848,159,0
"However, with increased physical activity and modest weight loss, persons with pre-diabetes may prevent development of Type 2 diabetes. ",8008,136,0
"According to the American Diabetes Association, there are 12,000 to 24,000 cases of blindness are reported in diabetic patients ranging 20-74 years of age annualy, primarily due to damage to eye vessels by high blood glucose levels. ",8145,233,0
"However, with good blood sugar control, approximately 76% of eye damage can be prevented.
",8379,90,0
"Nephropathy, or kidney disease - is another complication of diabetes that is characterized by the presence of too much albumin (protein) in the urine. ",8470,151,0
"Unfortunately, this usually remains undetected until too much damage has occurred, possibly renal failure. ",8622,107,0
"However, elevated blood pressure and triglyceride levels are often early warning signs.
",8730,88,0
Did You Know? About 73% of adults with diabetes have high blood pressure. Heart disease and stroke account for about 65% of deaths in people with diabetes. ,8819,156,0
About 60% to 70% of people with diabetes have mild to severe forms of nervous system damage. ,8902,93,0
More than 60% of non-traumatic lower-limb amputations occur in people with diabetes. ,8996,85,0
"Mexican Americans are almost twice as likely and non-Hispanic blacks are almost 50% as likely to develop diabetic retinopathy as non-Hispanic whites.
",9082,150,0
"In 2005, 46,739 people with diabetes began treatment for end-stage renal disease (ESRD) and in 2002, a total of 178,689 people were living on chronic dialysis or with a kidney transplant. ",9233,188,0
"With good blood sugar control people with diabetes can reduce damage to their kidneys by 35-56 percent.
",9422,104,0
"The diabetes communities are now forced to respond and acknowledge three choices due to the number of diabetes patients that continually growing: to prevent or get away with the disease to have it cured before it gets worse
",9590,224,1
"to take care and watch over the people who have it already.
This is to prevent the different complications associated with the disease, because it can be very devastating.
",9815,172,1
