text,offset,length,author
"POKER RULES
Although poker game has many variations, all of them have the same basic rules. ",0,92,1
"Basic rules All variations of poker games use 52 cards as a standard deck.
The cards are ranked as : Ace, King, Queen, Jack, 10, 9, 8, 7, 6, 5, 4, 3, 2, A. ",81,156,1
"Having Ace as the highest and the lowest card. There is no value difference in any of the card's suit: Diamonds, Hearts, Spades, Clubs. ",163,136,1
The goal of the game is for the player to have the best hand of cards. Winning hands are determined through the rank of poker hands. ,253,133,1
"If there are two players who have the same hand (let's say both players have Royal Flush), the player with the highest card is the winner.
",316,139,1
"It does not matter of which suit as long as all cards are of the same suit. For example:
",456,89,1
2 of Diamonds 5 of Diamonds 6 of Diamonds Jack of Diamonds Ace of Diamonds ,470,75,1
"COMMON POKER TERMS
Before learning how to play poker, it is better to know the different poker terms, for these will give you an edge to be a better player. ",821,157,0
"It's like playing any sports. Before you become good at it, you should know the basics first. ",960,94,0
"The better you know about a game, the better you can play and win at it.
All-in Betting all the chips or cash left in front of you on the table. ",1025,145,0
"This happens when you don't have enough money to cover the full bet amount, so you then place your remaining money into the pot. ",1098,129,0
"In that case, what you'll win is proportional to what you just contributed.
Ante - The minimum bet that each player must place into the pot before the betting begins and before any cards are dealt. ",1228,198,0
Add-on - An option to buy more chips than a player received with his original buy-in. ,1351,86,0
"There is usually one option to 'add-on' during a tournament, it's either at the end of the rebuy period or at the first break Big Blind - This is a forced bet . ",1438,161,0
The first bet posted by the player to the left of the player who posts the small blind. ,1600,88,0
"The big blind bet amount is equal to the lower bet. For example, in a $10 - $20 game, the big blind is $10. ",1689,108,0
Big Pair - A Pair with a value of 10 or greater. Blind Bet - The first bet by each player placed before any cards are dealt. ,1746,125,0
"It is considered a live bet for the first round of betting, wherein you'll have big and small blind bets. ",1823,106,0
"Note: This is applicable to Texas Hold'em , Omaha, Omaha Hi-lo. Bring-in - A mandatory bet by the layer with the lowest card in the Third Street, the first round of betting in Seven-Card Stud Poker.
",1930,199,0
Buy-in Amount - The amount a player must bring into a game. Call - This is when you place a bet that is equal to the previous bet. ,2066,131,0
"Cap - The limit that is used to describe the third raise in a round.
Check - This is when you want to stay in the game without placing a bet. ",2138,142,0
You can only do this if there's no other bets have been placed in the betting round. ,2212,85,0
Community Cards - These are the cards on the table that are dealt by the players to complete a five-card hand. ,2298,111,0
"Dealer-button - This is a flat disk used in signifying the Dealer's table's position, which is marked with a D. ",2410,112,0
Equalized - When all the players have placed the same credits to the pot. Fifth Street - This is the third round of betting in a Seven-Card Stud Poker . ,2523,153,0
It is called Fifth Street because each player has Five-Cards. Flop - The first three community cards dealt to the table. ,2603,121,0
"Fold - This is when the players throw in their cards. By doing so,they give up any claim on the pot in exchange for not contributing more money to it. ",2663,151,0
Fourth Street - This is the 2nd round of betting in a Seven-Card Stud Poker . It is called Fourth Street because each player has four cards. ,2761,141,0
The following applies to the Fourth Street: The player with the highest ranking hand starts the next round of betting. ,2825,119,0
"He/she can Call, Fold, Raise or Check. Live Blinds - These are blind bets that are in play. ",2945,92,0
"Lowest Card - As the name itself, this is the card with the lowest value. Aces are high. ",2999,89,0
"If two Players have the same lowest card, the value is determined by suit. Suits are arranged in alphabetical order from lowest to highest value - Clubs, Diamonds, Hearts, and Spades. ",3015,184,0
"Muck - This is when you don't want to show your losing hand to the table. Pocket Cards - The cards are dealt face down to each player.
",3125,135,0
"Pot - The chip's pile that accumulate as each player antes, bets and raises. All winnings are paid from the pot. ",3187,113,0
The value of the pot varies depending on the stakes involved and the amount the players bet. ,3224,93,0
The pot goes to the winner of the hands in each round. Quartered - This is for Omaha Hi-Lo Poker. ,3318,98,0
When the players tie with either a high or a low hand and earn a quarter of the pot. ,3362,85,0
"Raise - When you match your previous bet then increase your bet, wherein it increases the stakes for the remaining players. ",3448,124,0
"River Card - Showdown - This occurs after the last betting round, and is when the remaining players compare hands to determine the winner. ",3573,139,0
The player with the highest value hand wins the pot. Sitting Out - This is when you choose to leave a table for a few hands. ,3713,125,0
Small Blind - This is the first bet a player posted to the Dealer's left. It is a forced bet. ,3786,94,0
"The small blind bet amount is equal to half of the lower bet.
Street - Note: This is applicable to Seven-Card Stud Poker.
",3807,122,0
Refers to the various stages of betting. Betting starts on the Third Street continuing to the Seventh Street. ,3868,110,0
This is five rounds of betting. Third Street - This is the first round of betting and is called Third Street because the Players have three cards each. ,3938,152,0
"The Player with the lowest card displayed brings-in the betting in this round. Note: This is applicable to Seven-Card Stud Poker.
",4059,130,0
"Visible Cards - These are cards dealt face up to each player, which they can use to complete a five-card combination.
",4111,118,0
