text,offset,length,author
"and pumps about five quarts of blood each minute, or 75 gallons of blood every hour. ",0,85,1
"The heart is a muscle that pumps blood around the body. It consists of four chambers two atria at the top and two ventricles at the bottom that contract (or beat) in a regular, highly coordinated organized rhythm. ",86,214,1
"What is an arrhythmia?
Normal heart beat is a regular, consistent and coordinated rhythm, speeding up or slowing down in response to physical activity or to an emotional event. ",245,177,1
This regular rhythmic pattern can be disrupted by various conditions causing the heart to beat either inappropriately slow or fast or in an uncoordinated manner. ,400,162,1
"Any such irregular heartbeat is called an arrhythmia. Arrhythmias are very common, especially in older people, but it may occur in children or younger people. ",563,159,1
"While some arrhythmias are harmless, others can be serious, leading to heart disease, stroke, or sudden cardiac death. ",669,119,1
"Fortunately, most of these arrhythmias can be controlled with medicines, implantable devices such as pacemakers, or surgical procedures. ",789,137,1
"Types of Arrhythmia Cardiac arrhythmias sometimes are classified according to their origin as either ventricular arrhythmias (originating in the ventricles) or supraventricular arrhythmias (originating in heart areas above the ventricles, typically the atria) Bradycardia indicates a heart rate of less than 60 beats per minute and tachycardia indicates a heart rate of more than 100 beats per minute. ",927,402,1
"Sinus bradycardia. Sinus node sends ou signals at a slower rate than normal It includes normal decrease in heart rate during rest and sleep as well as athletes.
",1330,161,1
At this slow rate the heart is unable to pump enough oxygenated blood to the body to sustain normal activity or mild exercise. ,1473,127,1
"As a result, the person may feel dizzy or have chronic lack of energy, shortness of breath, or even fainting spells. ",1601,117,1
"Sinus Bradycardia
A sinus rate of < 60 beats/minute.
Sinus bradycardia may be normal finding during sleep, in athletes it may be an indication of excellent physical conditioning; however, in the elderly, it often an indicates of sinus node disease.
",1861,249,0
"Inferior MI, hypothermia, myxedema, or increased intracranial pressure may cause this arrhythmia. ",2058,98,0
"For apparently healthy persons aged 40 to 80 with sinus rates < 50 beats/minute, 5-year cardiovascular morbidity and mortality rates do not appear to be increased. ",2157,164,0
"Treatment is not needed unless symptoms of cerebral hypoperfusion are present. If such symptoms are chronic, pacemaker implantation is the definitive treatment.
",2322,161,0
"Sinoatrial Block
Inability of sinus node impulses to depolarize the atria.
Sinoatrial block is often 2:1, resulting in atrial and ventricular rates that are exactly one half the sinus rate. ",2405,190,0
"In the elderly, common causes are intrinsic conduction system disease, ischemia, digitalis toxicity, and toxicity from class Ia antiarrhythmics. ",2521,145,0
The diagnosis is made when an ECG shows a pause in the sinus rhythm equal to a multiple of the underlying PR interval. ,2667,119,0
"Treatment is similar to that for sinus bradycardia.
First-degree atrioventricular block: First-degree block may occur in healthy persons with high vagal tone, or it may be caused by intrinsic conduction system disease or by various drugs (eg, digoxin, beta-blockers, calcium channel blockers, class Ia antiarrhythmic drugs). ",2787,325,0
"The PR interval is prolonged (>= 0.22 seconds). It does not significantly increases cardiac morbidity and mortality of patients, no treatment is required.
",3061,155,0
"Second-degree atrioventricular block: It may occur in three different patterns. In Mobitz type I (Wenckebach) block, the PR interval is progressively prolonged until a QRS complex is dropped. ",3169,192,0
