text,offset,length,author
"The InuYasha animeseries was broadcast across Japan by the anime television network,Animax, who have also aired the series across its English-languagenetwork in South Asia and also across its networks in East Asia,and Nippon Television.
",0,237,1
InuYasha was first broadcast in the UnitedStates on Cartoon Network's Adult Swim in August 2002. ,238,97,1
"The serieslater premiered on Canadian television screens, where it aired onYTV.
InuYasha was also shown on Cartoon Network'sLatin American incarnation, Cartoon Network LA. ",336,172,1
"In Latin America,it was dubbed in Spanish and in Portuguese. Cartoon Network LA canbe seen in many countries south of the United States, as well assome cruise ships in the Caribbean.
",429,183,1
"At one point, new episodes of Inuyasha wereairing in Japan twice a day , 5 times a week, andreruns were being aired Saturday night - 5 episodes in two hours.",552,157,1
"This is why the series concluded much faster than in the UnitedStates. InuYasha is on rotation on the network, and the officialsite should be visited to see if the show is currentlyre-airing.
",710,192,1
"The anime is licensed by in North America byViz and ShoPro Entertainment, and the actual dubbing is done by theOcean Group.
",832,124,1
"The characters can besplit into several groups. The group of protagonists, headed byInuYasha and Kagome, is the main acting unit in the series. ",957,144,1
"Ittakes part in the vast majority of events and conveys the story'smain plot: collecting the Shikon Jewel Shards and the gradualtransformation of the characters through love, affection andnumerous trials they come through together. ",1054,232,1
"Naraku's group unitesthe main antagonists and is the ""ultimate enemy"" to be defeated.",1287,85,1
"Other groups and characters play various roles including a fewsubplots of different significance.
",1373,98,1
"In the animeadaptation, he is voiced by Kappei Yamaguchi. In the English dub,he is voiced by Richard Ian Cox.
",1725,110,0
"Kagome is thegranddaughter of the keeper of the Higurashi shrine, which is aShinto shrine near Tokyo. ",1837,102,1
"On her fifteenth birthday, Kagome triesto save her cat from falling down the shrine well and she is pulledinto the Bone Eater's well by Mistress Centipede who wanted theShikon Jewel, which was hidden in her body.",1940,212,1
"This takes her back in time to the Warring States Period (SengokuJidai) of Japan, where she finds the half demon,InuYasha.
",2153,123,1
"She is the reincarnation of thepriestess Kikyo, who died 500 years before the start of the series,and she takes over Kikyo's task of protecting the Shikon Jewel, butaccidentally shatters it with her arrow. ",2275,206,0
"Due to the fact that sheis the reincarnation of Kikyo, Kagome possesses great spiritualpower and is able to purify tainted shards of thejewel.
",2482,143,0
"In the anime adaptation, she is voiced bySatsuki Yukino. In the English dub, she is voiced by MonecaStori.
",2626,107,0
Miroku Miroku is a Buddhist monk who traveled thecountryside performing (mostly faked) services such as exorcismsand demon exterminations to earn his living. ,2677,158,0
He suffers from ahereditary curse originally inflicted upon his grandfather byNaraku. ,2836,86,0
"The hole in his hand becomes a Wind Tunnel, which sucks inalmost anything in its path. ",2923,87,0
"The Wind Tunnel proves to be apowerful weapon against demons, but grows larger as timepasses. ",3011,94,0
"He joins InuYasha and Kagome inhopes that he will be able to find and kill Naraku so he can breakthe curse before it consumes him, as it consumed his grandfatherand father. ",3106,173,0
"Miroku also uses his holystaff and several scrolls to attack enemies.
He first meets InuYasha after he steals theShikon Jewel. ",3280,127,0
"InuYasha attacks Miroku and Miroku quickly uses hisWind Tunnel. Realizing he won't harm humans, Kagome stands in hispath. ",3338,122,0
"Miroku quickly covers the Wind Tunnel, and after explaininghis situation, InuYasha allows him to join their group. ",3397,115,0
"Miroku hasa habit of asking random women to bear his child so that, in thecase that he would die defeating Naraku, he would have an heir. ",3513,138,0
"Arunning gag is Miroku's lechery, specifically shameless flatteryand occasional groping with varying subtlety. ",3652,111,0
"After his father haddied, Miroku was raised by a monk, and learned his lecheroustendencies from him. ",3764,101,0
"At the end of the series, Miroku is no longerbearing the wind tunnel, and marries Sango. ",3866,89,0
"They have threechildren, twin girls and a boy.
In the anime adaptation, he is voiced by KojiTsujitani. ",3956,103,0
"In the English dub, he is voiced by KirbyMorrow.
Sango Sango is a demon slayer from a village ofprofessional demon slayers. ",4013,124,0
"She wields the Hiraikotsu, a massiveboomerang made of purified demon bones, and possesses a broadrepertoire of tools and tricks for fighting demons. ",4089,149,0
"Sango and thesouls of the purified demons of Hiraikotsu share a deep connection,and when she puts the weapon in danger to save Miroku, they chideher for it and ask that she put them above him.
",4239,193,0
Sango's family was killed and her entirevillage destroyed by Naraku's demons so Naraku could steal theirShikon Jewel shards. ,4433,125,0
"He then blames InuYasha and manipulates Sangointo trying to kill him. When the ploy failed, Naraku uses a shardof the Shikon Jewel to revive and control Sango's little brotherKohaku, forcing him to fight InuYasha and his company, and usinghim to manipulate Sango. ",4559,264,0
"She seeks vengeance against Naraku, buther primary goal is to rescue Kohaku from Naraku's influence andsave his life.
",4754,118,0
"Sango is often the victim of Miroku'slecherous tendencies, and continually slaps him for it. ",4873,93,0
"However,she later confesses her love for him and the two get engaged. Atthe end of the series, Sango and Miroku get married and the twohave three children. ",4967,156,0
"She also allowed Kirara to join her brotherKohaku and aid him in his demon slaying.
",5054,84,0
"In the anime adaptation, she is voiced byHoko Kuwashima. In the English dub, she is voiced by KellySheridan.
",5139,109,0
"Kirara Kirara is Sango's faithful, demon-catcompanion. Kirara usually appears in the form of a small feline nolarger than a kitten with two tails, but when necessary, she cantransform into full demon with saber-teeth, flames around her feetand tail, and large enough to carry 2-3 humans on her back. ",5192,300,0
"In herfull demon form, Kirara is capable of flying, an ability InuYasha'sgroup find useful for transporting Sango, Miroku, and Shippo whenInuYasha is running quickly or jumping to greater heights than theywould normally be able to keep up with. ",5438,245,0
"For most of the series,Kirara stays with Sango and aids InuYasha's group in battles. ",5684,85,0
"Atthe end of the series as Naraku has been defeated, she chooses tojoin Kohaku as he trains to become a demon slayer while Sangostarts her new life with Miroku and their children.
",5770,180,0
"In the anime series, it is suggested that shewas once the companion of Midoriko, who originally created theShikon Jewel. ",5951,121,0
"She is voiced by Tarako inboth the original Japanese and the English dubbed version of theseries.
",6073,98,0
"Shippo Shippo is an orphaned young fox demon whosefather was killed by the Thunder Brothers, Hiten and Manten, andthe first character in the story to join InuYasha and Kagome intheir travels as a group. ",6172,203,0
"After his father's death, Shippo attemptsto steal the Shikon Jewel, with the intent to become stronger andavenge his father's death. ",6376,133,0
"Though his plans fails, Kagome andInuYasha aid him in fulfilling his revenge after hearing hisstory.
",6510,101,0
"Shippo appears as a young boy with fox legs,feet, ears, and a tail. He can also shape-shift into many differentforms, but his forms are temporary, often incomplete andineffective, and he is usually given away by his telltale tail. ",6612,231,0
"Hisother noteworthy abilities are turning into a large pink flyingballoon, illusionary tricks with toys like his giant spinning topattack, weak fox fire magic, and making things multiply. ",6776,188,0
"He tendsto be naïvely observant and often makes pointed and cheeky commentstowards InuYasha, earning him a retaliatory bonk on the head.",6965,136,0
"InuYasha and Kagome serve as older sibling figures toShippo.
Due to his size, Shippo is often seen ridingon Kirara or the shoulders of others. ",7102,143,0
"His actual age is neverstated in the series; according to the official InuYasha guide byRumiko Takahashi, his appearance is intended to be similar to thatof a seven year old boy.
",7185,179,0
"In the anime adaptation, he is voiced byKumiko Watanabe. In the English dub, he is voiced by JillianMichaels.
",7365,110,0
"Myoga Myoga is a flea demon who appears randomlyand gives InuYasha information on current events, foes, and theshards of the Jewel of Four Souls. ",7419,146,0
"He was originally charged withprotecting the grave of InuYasha's father, where the Tetsusaiga washidden. ",7566,105,0
"However, he fled when Sesshomaru came to the grave insearch of the sword. Myoga also enjoys drinking demon blood, andactually saves InuYasha's life at one point by drinking the venomfrom a spider demon out of his blood. ",7672,220,0
"He has saved the others in asimilar manner. He often gets slapped by InuYasha and othersbecause he drinks their blood without permission.
",7819,138,0
"Myoga often flees before or during a battle,and the others have recognized this as a sign of impending doom.",7914,108,0
"Anywhere he is around is considered a safe area. In the anime series, he is engaged to anotherflea demon named Shoga, though he continually runs from her toavoid the marriage.
",8023,176,0
"In the ani meadaptation, he is voiced by Kenichi Ogata. In the English dub, heis voiced by Paul Dobson.
",8151,104,0
"Naraku's group Naraku's group consists of a large number ofdemons, including nine detatchments of Naruku and his servants,including Sango's reanimated and possessed bother,Kohaku.
",8200,180,0
"Naraku Naraku is the series' primary antagonist. Heis responsible for many of the characters' suffering, including thedeath of Kikyo and the sealing of InuYasha to the sacred tree.",8381,180,0
"Naraku originated from a bandit named Onigumo, who made a deal withseveral demons in order to receive a new body so he may pursue hiscaretaker, Kikyo and gain possession of the Shikon Jewel.",8513,190,0
"Throughout the series', Naraku has created many detachments, to aidhim in goal of killing those who oppose him and finding the shardsof the Shikon Jewel.
",8704,154,0
"In the anime adaptation, he is his voiced byToshiyuki Morikawa. In the English dub, he is voiced by PaulDobson.
",8859,112,0
"Naraku's detatchments are: Kanna - the first detachment of Naraku. She appears as a girl with whitehair and clothing and carries a demonic mirro r, with which she can steal the souls of those reflected init. ",8908,208,0
"Once a soul is trapped within her mirror, Kanna can controltheir host bodies to carry out her bidding. ",9050,103,0
"The mirror also has theability to create a glass demon that can copy the abilities ofwhatever it reflects, though Kanna receives all damage in the glassdemon's stead . ",9154,168,0
"In her last battle, Kannais ordered by Naraku to commit suicide, shattering herself and theglass demon she was currently using into thousands of tiny shards.",9323,157,0
"One of the shards hits Kagome's right eye, and Kanna directs herfinal thought to tell Kagome how to destroy Naraku. ",9481,116,0
"Kagura hatesher creator and wishes to be free from him. After Kagura helpsKohaku escape from Naraku, Naraku mockingly returns her heartbefore fatally attacking her and leaving her to die.
",9598,188,0
"Kagura - his second detachment. A wind sorceress, Kaguraprimarily uses a wind-manipulating fan to enhance her powers andcreate wind-based attacks, including a blade-like tornado attackand using wind to animate dead bodies. ",9731,223,0
"She can also use a pair offeathers that she wears in her hair for transportation, enlargingthem then using them to ride in the wind.
",9923,133,0
Goshinki - Naraku'sthird detachment takes the form of a large horned purple demon.,10057,82,0
"Goshinki has the ability to read the thoughts of others, whichenables him to outmaneuver InuYasha. ",10140,99,0
"Goshinki breaks the Tetsusaigaby biting it, however, this ultimately results in his death at theclaws of InuYasha.
",10240,115,0
"Kage romaru - the fou rthdetachment, is a tiny slithering creature with a human head and twoscythed-arms. ",10356,106,0
"Despite his form, Kager maru is quite fast, and canalso tunnel in the ground. He resides in Juromaru's stomach, who isloyal only to him, where he can make surprise attacks on theenemy.
",10463,185,0
Juromaru - the fifthincarnation is perhaps the least loyal of all of the incarnationNaraku creates. ,10571,100,0
"Juromaru's only loyalty is his elder brotherKageromaru, who is hidden in Juromaru's stomach when covered by ametal mask. ",10672,121,0
"Juromaru has little intelligence and never speaks,characterized only by a lust to kill. ",10794,88,0
"He and his elder brother werekilled by InuYasha and Koga.
Muso - the sixth detachment of Naraku was separated from Naraku in his attempt toremove his human side, Onigumo, which would also remove Onigumo'slove for Kikyo. ",10883,220,0
Naraku cared so little for the incarnation heneither named it or gave it a face. ,11046,81,0
"Muso took both his name andface from a wandering monk he slew. Naraku quickly realizes,however, that he cannot abandon Onigumo so easily, and Muso wasabsorbed back into Naraku.
",11128,177,0
The Infant -Naraku's heart and seventh detachment is capable of speakingfluently. ,11243,82,0
"He is a baby that can possess anyone with the darkness intheir heart. His main goal is to control Kagome's mind by findingthe pain, anger, or jealousy within her heart, and use herabilities to find the remaining shards of the Shikon Jewel. ",11326,240,0
"TheInfant is not loyal to Naraku and is destroyed along with Moryomaruby Naraku.
",11497,81,0
"Hakudoshi - theeighth detachment from Naraku is created from The Infant's body, hewas Entei's final master and takes the form of a young child. ",11579,144,0
"LikeNaraku, his heart is not inside his body, so he is able toendlessly regenerate himself. ",11724,92,0
"Over time,both The Infant and Hakudoshi grow tired of Naraku's rule overthem, and seek to betray and overthrow him. ",11817,116,0
"Naraku eventuallyrealized their wish, however, and instructs his Saimyosho toabandon Hakudoshi in battle, giving him no protection againstMiroku's Wind Tunnel, and he is destroyed.
",11934,181,0
