text,offset,length,author
"The word ""current"" has several meanings, all of which have connotations of dynamism, freshness, relevance. ",0,107,0
"It can mean ""up to the present moment"" - that which is new and fresh. It can also describe patterns of movement in elements such as air, water, or electricity - patterns that can be difficult to see, but that are capable of moving with great force and creating immense amounts of energy. ",108,288,0
"When applied to electricity, it can even be synonymous with ""power"" - as in ""Danger - Live Current!"" ",327,101,0
"These meanings even place it at the root of the word ""currency"" - that is, a substance can hold value (power), and that can at any moment be redeemed at that token value.
",429,171,0
"It's little wonder, therefore, that the word is often chosen as a name for news media. ",601,87,0
"It connotes a sense of something flowing toward the audience, something that is potent, up-to-the-minute, and immediate. ",689,121,0
"Yet the media that use it might seem to have little else in common.
Current: The Newspaper About Public Broadcasting in the United States
",811,138,0
"Current - one version of it, at least - is a newspaper that covers topics related to public radio and public television.
",882,121,0
"Or as the Public Broadcasting Service used to say in its promotions: ""It's made possible by viewers like you.""
",1004,111,0
"though it seems inevitable that this must change before long
Public broadcasting in the United states is extremely heterogeneous, populated as it is by large numbers of
",1116,169,0
Current and the Firing of Bob Edwards Having such a public meeting place has been important for public broadcasting when internal events threatened to weaken it through internecine conflict. ,1225,191,0
"One such event was when Bob Edwards, the iconic host of National Public Radio's Morning Edition and a beloved figure to many public radio listeners, was fired after thirty years with the program. ",1417,196,0
"Edwards' distinctive voice and distinguished delivery were, for many people, the voice of public radio, and his departure caused a great deal of internal conflict. ",1614,164,0
"Some people felt that his firing was an ominous sign that National Public Radio was sacrificing gravitas and integrity in search of some more exciting or entertaining sound - that they were, in short, compromising their principles and their very identity in the hopes of competing with more vapid, attention-grabbing forms of media.
",1779,333,0
"As it turned out, the firing had happened because National Public Radio felt that Morning Edition's sound had been too much the same for too long, and wanted Edwards to switch to a two-host format. ",2113,198,0
"This Edwards did not want to do, and National Public Radio was unwilling to allow the program's format to remain as it was.
",2312,124,0
"The two-host arrangement would make Morning Edition's coverage of news and events stronger, according to National Public Radio's senior vice-president of programming, Jay Kernis. ",2626,179,1
The new format would provide for increased flexibility in covering emerging news stories while continuing to prepare for future programs. ,2806,138,1
"Also, Morning Edition is first presented at five o'clock in the morning (Eastern U.S. ",2945,86,1
"Time) and repeats until noon,
",3032,30,1
"with a sort of ""reboot"" every hour. That is, the show does not exactly repeat every hour; lead stories may change or shift the order in which they are presented, or new information may cause these stories to be expanded, to use different clips from the ground where they're being reported, or to require a different introduction, conclusion, or commentary from the host.
",3060,371,0
"This ongoing revision and expansion of the show on the fly would, NPR felt, be much easier with two hosts. ",3432,107,1
"In addition, it would allow for the hosts to sometimes report directly from the field, meaning they would have more hands-on experience with the news that would make their hosting sound more informed, involved, and immediate - more like reporting, in other words. ",3540,264,1
"Though Edwards was much beloved, he had been criticized at time for sounded disengaged.
",3805,88,1
"After Edwards left, the public broadcasting world erupted in a storm of passionate protest and defense. ",3893,104,0
"Current provided a place for a public conversation to take place, and thus for everyone to work through their opinions and emotions on the subject. ",3998,148,0
"In the weeks after Edwards' departure was announced, Current published a number of pieces in which it gave many sides of the story, including some impassioned protest. ",4147,168,0
"Among the arguments made by the protesters were:
- Edwards' firing is a sign of NPR's descent into media vacuity
",4316,113,0
"National Public Radio had been seen by many as different from other institutions; now, they found, even it could let them down by acting like a large institution with difficult choices to make.
",4381,194,0
"Many listeners, and media commentators, did not feel that Edwards had left because NPR was insisting on a format that he did not want, but that he had been forced out because of his age (which at the time was 56).
",4576,214,0
"A few respondents, who were also given voice in Current , had dissenting opinions about whether Edwards' departure was quite the disaster it was being claimed to be.
",4791,166,0
"For his part, Edwards appeared to have been listening to the ongoing discussion - including critical remarks like those above. ",4958,127,0
"When he weighed in, his contribution did much to calm the protests. Edwards
Edwards urged listeners to remember that everything must change, that he would still be on public radio in another venue, and to give Morning Edition's new format, and new hosts, a fair chance. ",5086,270,0
"Current's role as a place for public broadcasting's widely scattered, heterogeneous community to come together was an important part of helping National Public Radio (and Edwards) through what might have been a disaster for both.
",5281,230,0
"Current.tv: Al Gore's Television Website
In the early years of the 2000s, several websites thought it would be a good idea to challenge YouTube's dominance in the ""homemade video made available to everyone"" field. ",5512,214,0
"One of the more serious - that is, less given to being taken over by videos of people's cats playing the piano - was the site established by former U.S. ",5686,153,0
"Vice President Al Gore.
Before long, Current.tv had come to identify itself more as a cable TV channel with an online presence that interacted with its broadcast presence - not a website that showed content on ""real television.""
",5840,229,0
"It changed its name from Current.tv to Current, dropping the "".tv,"" becoming less about creating video content on news topics, and more about different ways to share social media on similar topics. ",6232,198,1
"The focus on the user-created video diminished somewhat, as the network began instead to search for broader ways for users and viewers to share news and discuss ideas.
",6431,168,1
"The reasons for the shift were simple: the strategy team at Current.tv had realized that
",6600,89,0
"If that infrastructure could be provided for them, the idea went, they would produce a level of journalism never seen before - journalism that was ""real"" and ""raw"" and that carried with it the authenticity of being ""from the people.""
",6690,234,0
"It could be argued, of course, that this has never been true in American history - not after Gutenberg, not when the United States was founded, perhaps not at any time. ",6925,169,0
"Slavery and its ever-tainted legacies of bigotry and fear certainly give the lie to the idea that the political origins of the United States derive from an open, free-flowing marketplace of ideas in which any individual could contribute to the public forum - as does the exclusion of women and non-landowners from public discussion. ",7095,333,0
"Discrimination against non-landowners was the first type of exclusion to be rectified; women would not be permitted even to have the vote until 1920.
",7429,150,0
"African-Americans technically received the right to vote in 1868, when the Fourteenth Amendment to the U.S. ",7580,108,0
"Constitution established ""equal protection"" - that is, that no citizen of the United States could have his or her citizen-based rights abrogated in any way. ",7689,157,0
"This was not enough for most of America, however, and the Fifteenth Amendment, passed in 1870, specified that no group could be treated differently or discriminated against in any way based on race, creed, or color. ",7847,216,0
"This only launched a long series of attempts, many of them largely successful, to indirectly rob African-Americans of the vote using methods such as a poll tax, a literacy test, or - in the most recent example - by requiring voters to apply for increasingly complicated forms of photographic identification, and then selectively denying the applications of individuals who, as it happened, were African-American. ",8064,413,0
"This last example took place in September 2012.
Of course, it also took place during the re-election campaign of the United States' first African-American president, showing that American public life has made significant progress from the days when its Constitution had to be amended in order to clarify that people must not be treated as less than human - but it is an indication that the principles of free and open participation in a democracy cannot be taken for granted, but must be constantly defended .
",8478,510,0
"All of this is not to question the validity of the principle that Gore wished to uphold - only to point out that, to the extent that he was presenting it as a lost ideal disrupted by television's dominance, he is indulging in nostalgia for something that never existed, and might be wiser to present it as an ideal toward which we are still moving.
",8941,349,0
"This is a fine idea, and perhaps somewhat less open to being historically and factually discredited than his first. ",9291,116,0
