text,offset,length,author
Since Yahoo! is a name that is familiar to every person who has ever been online it is natural that the company would have its share in the market of website hosting. ,0,167,1
The main reason for the popularity of Yahoo! Web Hosting is not only its tight integration with other Yahoo! ,155,109,1
"services, but also of the fact that the company has made sure that its hosting services are very easy to use and manage. ",220,121,1
"Yahoo! allows you to set up a complete store in just a matter of days. The tools provided by this company are a great gift for the people who believe in the philosophy of Do It Yourself.
",342,187,1
Yahoo! is one of the biggest online businesses. The company has mobilized immense amount of effort and assets to make sure that its services are as usable as they are reliable. ,459,177,1
"It was one of the few companies which realized the fact that not only can they make a lot of money if they sell web hosting services, the can make a lot more money if they keep their services simple. ",589,200,1
"Considering this,Yahoo! urged its personnel to make sure that their hosting services are easy to use and reliable. ",790,115,1
Yahoo's engineers made sure that the hosting services they develop are not only meant to be used by engineers but also by common web enterpriser. ,882,146,1
The company provides a demo of their site builder to allow you a chance to see what you are about to pay for. ,1029,110,1
"You get the option to choose from 350 site templates and 3400 images for your site.
",1140,84,1
"Yahoo! oneSearch is a search engine designed specifically for mobile users. You can search for anything from share quotes to celebrity news, sport scores or movie reviews, and get up-to-date and relevant answers every time you search. oneSearch understands what you're after and, where you have enabled this functionality, remembers your location, giving you results tailored to wherever you are. ",1225,397,1
"Your results will appear on one page conveniently grouped into key categories so finding what you need becomes child's play.
",1547,125,1
"Get anytime, anywhere access to Yahoo! Mail from your Internet-enabled phone. It's the mail program that keeps you connected with a mail experience designed for the unique capabilities of your mobile device. ",1673,208,1
"You'll have access to all the features you need, even when you're mobile. Yahoo! ",1804,81,1
"Mail can transform your phone into a mobile inbox that makes sure you're always in touch.
",1812,90,1
"Yahoo! Messenger keeps you in the loop with fast, easy-to-use instant messaging on your phone. ",1903,95,1
It's easy to send and receive instant messages anywhere and on any compatible mobile device. ,1992,93,1
"So you can stay connected, even when you step out, with Yahoo! Messenger on your phone.
",2086,88,1
"After more than a year of fruitless partnership discussions with Yahoo executives, Microsoft announced it will offer US$44.6 billion in cash and stock to Yahoo shareholders to acquire the company. ",2601,197,0
"The massive size and aggressive nature of the offer show Microsoft's anxiety that Google is on its way to building an insurmountable lead in online advertising, which could fund projects that eventually cut into sales of traditional Microsoft software, such as Office and Exchange.
",2799,282,0
"Yahoo's board of directors rejected Microsoft's initial proposal, but even if the companies reach an agreement, the deal will face intense regulatory scrutiny, particularly in Europe. ",3082,184,0
"If approved, integrating the two companies and eliminating redundancies to improve efficiency could prove exceptionally difficult and time-consuming, giving Google more time to build its lead and perhaps distracting Microsoft from its traditional core businesses. ",3267,264,0
"The move would also deplete Microsoft's cash hoard, putting an end to the multibillion-dollar share buybacks of the last four years and making it harder to bolster the company's other businesses through acquisitions.
",3532,217,0
"Forcing Yahoo's Hand Microsoft's offer was detailed in a letter from CEO Steve Ballmer to Yahoo's board of directors and shareholders, which was published on Microsoft's Web site on Feb 1, 2008. ",3750,195,0
"In that letter, Microsoft offered to acquire Yahoo directly from shareholders with a combination of cash and Microsoft stock worth US$44.6 billion-a 62% premium over Yahoo's share price at the close of the previous day's trading. ",3946,230,0
"After the announcement, Microsoft acknowledged that it might issue bonds and assume some debt-a first in Microsoft's history as a publicly traded company-in order to close the deal.
",4177,182,0
"Until this proposal, the largest acquisition in Microsoft history was the US$6 billion deal for online advertising aQuantive in summer 2007; the company also invested US$5 billion in AT&T in 1999. ",4360,197,0
"In the technology sector, the size of the acquisition would be exceeded only by AOL's 2000 acquisition of Time Warner for US$164 billion in stock.
",4558,147,0
"In the letter, Ballmer claimed that the two companies had been in partnership discussions since late 2006, and that Yahoo had rejected a merger deal in early 2007, claiming that it needed more time to improve its financial results, in part by implementing a new paid search platform known as Panama. ",4706,300,0
"However, Google continued to extend its lead over Yahoo in Internet search market share and online advertising revenue. ",5007,120,0
"On Jan. 29, 2008, Yahoo reported that its earnings for the last quarter of 2007 had dropped 23% from the previous year, and that it would begin to cut expenses by laying off 1,000 employees.
",5128,191,0
"At press time, Yahoo's board of directors had rejected the deal, claiming that it ""substantially undervalues"" the company. ",5312,123,0
"While the company's leadership may be reluctant to approve the deal, shareholders will find it attractive given Yahoo's recent performance and lagging stock price-the company's shares rose almost 50% immediately after the deal was proposed. ",5436,241,0
"Possible next steps include Microsoft raising its bid to a level that the Yahoo board approves, or a shareholder revolt resulting in a new board of directors that will approve Microsoft's proposal.
",5678,198,0
